"S+G2/G1"	"EDU"	"AK leakage"	"Resazurin"	"Cell Number"
"MAP3K6"	0	0	0	0.666666666666667	0
"ICK"	0	0	0	1	0
"NME7"	0	0	0	0.666666666666667	0.333333333333333
"NME4"	0	0.333333333333333	-0.333333333333333	1	0
"NME2"	0	0	-0.333333333333333	1	0
"STK32C"	0	0	0	1	0.333333333333333
"STK36"	0	0	0.666666666666667	0	-0.666666666666667
"STK35"	0	-0.666666666666667	0	0	-1
"STK16"	0	0	1	0	-0.666666666666667
"YES1"	0	0	0	-0.666666666666667	0
"VRK1"	0	0	-0.333333333333333	-0.666666666666667	0
"SPHK2"	0	0.333333333333333	0	-0.333333333333333	-0.666666666666667
"UMPK"	0	0.333333333333333	0	-0.666666666666667	0.333333333333333
"ULK2"	0	0	0	-0.666666666666667	0
"SCAP1"	0	0.333333333333333	0	0.333333333333333	0.666666666666667
"TGFBR1"	0	0	1	-0.666666666666667	-1
"RIPK3"	0	0	-0.333333333333333	0.666666666666667	0
"SYK"	0	-1	0	0	0.333333333333333
